short_question,short_answer,tags,label
how well homeopathic medicine such as rescue remedy or aconitum works for anxiety any side effects my therapist recommended to me but i am still not sure,hello thanks for submitting your question here as per the description you have undergone repeated surgery for ovarian torsion where the ovary is preserved this sounds a bit different as in torsion it is a dictum to remove the whole ovary now as you are having recurrent pain from the ovaries you need an obg consultation right now there may be possibility of endometriosis which might present with similar feature you need to have the biopsy of previous operation and only after few blood tests and clinical examination a definite opinion can be formed sincerely dr bhattacharyya,"['alternative' 'aconitum' 'anxiety' 'anxiety effects' 'alternative to'
 'alternative medicine']",-1.0
hi my mum has had a lump just below her clavicalcollarbone she had an x ray and the guy said he did not know what it was but he did not think it was cancerous just to come back for a check up in 6 months fast forward a couple months my mom went to her gp and she ordered an mri the results just came back and it said she has a hypo intense t1 and hyperintense stir involving the first anterior rib a subtle abnormal enhancement of the rib was also identified everything else in the area looked normal they said she needs to go back for a ct scan she just had a benign brain tumor removed and now she has to go through this it is very difficult is this something that sounds like we should be concerned about what could this possibly potentially be thank you,hello and thank you for your post on e health forum from the history it seems that the teenaged girl in question probably has a behavioral disorder of childhood as a result of the familial situation and stresses but for proper assessment a examination and psychological assessment by a psychiatrist will be very helpful i hope this helps,['cancer' 'brain cancer' 'bone cancer'],-1.0
i have had acid burning stomach pain for the past ten years i had a magic eye back then and revealed nothing apart from inflammation been on many types of medication but dosent work everything i eat feels uncomfortable and i get a pain down my left arm it woories me and i cant live with this any more im 35 years old please can you help,you seem concerned by the possibility of autism in your 4 year old son autism includes a broad spectrum of symptoms therefore a single brief evaluation cannot predict a child is true abilities ideally a team of different specialists will evaluate the child they might evaluatecommunication language motor skills speech success at school thinking abilities because there is no biological test for autism the diagnosis will often be based on very specific criteria from a book called the diagnostic and statistical manual iv autism can be associated with other disorders that affect the brain such asfragile x syndrome mental retardation tuberous sclerosis you must consult an appropriate medical facility where autism kids are evaluated and treated as the same is not possible online hope this helps take care note this answer is not intended as and does not substitute for medical advice   the information presented is for patient education only please see your personal physician for further evaluation of your individual case,"['stomach cancer' 'stomach' 'cancer' 'stomach pain' 'medication'
 'left arm' 'acid' 'arm' 'back inflammation' 'pain medication'
 'stomach cancer']",-1.0
can i drink diet pills and what pills do you recommend,i would advise you to explore all the avenues of your life and not let one relationship define you and your health having said that i would suggest meditation and yoga exercise for relaxation take plenty of water and exercise daily please consult a psychologist if you feel you are being over run by your situation wishing you best of health thanks,['diet' 'diet pills'],-1.0
my friend is 23 years old recently he started suffering from hardhips breathing and a sting like feeling below his heart but this only occurs at night and it is getting worse should he be afraid of potential heart attacks or not and what are the possible causes please thank you very much,in polycystic ovaries the hormone dis balance is such that there are long intervals in between two periods relax deranged sugar levels are common in pcod but that does not mean that you would have diabetes in future metformin is commonly prescribed in case of pcod doing some lifestyle changes will help you like  1 reduce saturated fat intake 2 maintain good body composition 3 increase dietary fiber 4 increase aerobic exercise 5 restrict sugar intake you can also consider visiting a dietician who can help you in diet according to your requirements and choice take care,"['heart disease' 'heart attack' 'heart health'
 'heart disease and heart attack']",-1.0
had 5 major depression episodes better still dealing with uncontrollable panics around people who do power over 62 year old female strongly emotionally abused in childhood and long term marrige now my mom whats me to help her she lives in the country 150 miles away and i have few financial emotional and energy resouces after trying to rebuild my live she is 82 and has a fancy thanksgiving to meet her dreams every year but it works me to death she can not do it any more and every detail is her instruction my sister says that i have to do more of the work and i do not care about it at all but i do show make out rolls do all cleanup and take 4 dishes and my sister feels put upon thats my limit and i do not feel like my moms tradition is my mandate i will involve myself in needs and sister does wants to she is moms controlling drone and i want less tradition and to finally either pair it down but the 2  hunting nephews are going to start doing a stint in dishwashing,the issues mentioned seem to be due to stress associated with interpersonal issues which might be worsening your anxiety or depression other than proper control of your anxiety with medications you will need counselling and advice on people management hence you should consult a psychiatrist who can get a detailed history and help you deal with your inter person relations,"['depression' 'major depression' 'childhood' 'female'
 'childhood depression' 'about depression' 'all about depression'
 'family relationships']",1.0
i am 35 weeks pregnant and seriously contimplating leaving my husband my pregnancy has been very difficult due to his inability to be completely supportive of me during this time in my 1st tri the cat scratched me and started to become very aggressive toward me hissing etc i asked him to remove the cat but he felt as though it was a shared responsibility & didnt do anything about the cat i couldnt because i didnt want to go near the cat in fear of getting scratched plus it was his cat & i didnt want him resenting me in my 3rd tri she attacked again i got an infenction had to go to the hospital the doh was contacted & he wound up having to take off from work to handle the situation his complaint was that he has to do everything since my 3rd tri he has done some of the grocery shopping to help but refuses to pick up after himself around house he doesnt understand how crazy this makes me and is verbally emotionally abusive when i ask him to wash his dishes saying i am a nag,the description of the history indicates your son might be having some psychological stress disorder oppositional defiant disorder behavior problems or depression you might consult with a pediatric psychiatrist for your son who might be able to examine him and provide proper counselling and specific treatment,"['pregnancy' 'depression during pregnancy' 'postpartum depression'
 'bipolar disorder' 'third trimester' 'progesterone' 'health care'
 'depression' 'medication' 'aggressive' 'depression during pregnancy']",-1.0
i am 26 years old i had met an motor bike accident 1 year ago where i fracture my right leg it was a kind of simple open compound fracture surgery was done & nail rod were placed there i have followed the doctor & do every things he said but bone healing does not occur instead the nail start breaking after i start walking without crutches the doctor added extra calcium supplements & waited further but no changes then i move to next hospital after 8 month a prp injection was given saying it was a non union & waited to see the reaction no good changes then after 11 month again surgery was done replacing the broken nail with another long & wider nailrod some changes were observed within 4 months then dynamization of nailing along with prp inject was made recently will it solve the problem what are the chances how long it will take to heal can i walk without support as it has been 4 month alreadyexcept recent dynamization,the healing of a fractured bone depends on many factors 1 type of fracture   compound fractures   take much longer to heal 2 displaced bone fragments   if the bone edges and parts have been displaced then the risk of delayed union and nonunion increase 3 infection   increases the healing time 4 disruption of the blood flow to the fracture site   also hampers healing 5 malnutrition bone disorders also prolong the healing time 6 early mobilization of the joint   before complete healing in your case you have 2 or more factors which have caused the delay in your recovery without first hand knowledge of your current condition examination of your xrays and a physical examination it would not be possible to give exact possibility of your prognosis i am sorry about that but platelet rich plasma prp does contain important cytokines and growth factors which when injected into a injured area helps to improve the rate of healing bone formation in your case and hence your recovery as mentioned in your history you may already might have had some progress hence if the fractured bone site heals completely which will eventually happen in due time   there is no doubt that you will be able to walk normally on the affected foot i hope this helps,['recovery' 'broken bones'],1.0
i have a 2year old daughter who all of a sudden had problems with walking but before she was walking properly without any problems suddenly she is a little bit shaky and struggles to walk and she is just cheerful she does not have fever but every time she tries to walk she falls what could be the cause,it is more likely that she could be having a infectious or inflammatory disorder affecting the central nervous system brain and spinal cord resulting in neuropathy like symptoms it would be best that she consult with a neurologist who can examine her and provide a proper opinion about further management,['pediatrics' 'kids health and pediatrics'],1.0
what would cause a 15 year old girl to skip school excessively started this year   sophomore in hs not turn in any work and now start shoplifting drugs do not seem to be involved nor alcohol parents arent married mom has custody but dad and stepmom have regular visitations father had problems in his adolescence with school but not sure of the severity both parents are good people for the most part they live in nice neighborhoods provide everything she needs   she has very good family units on both sides mother is especially they have all tried bribes threats everything  and nothing is working its only getting worse she is moody at times but nothing considered abnormal please help,hello and thank you for your post on e health forum from the history it seems that the teenaged girl in question probably has a behavioral disorder of childhood as a result of the familial situation and stresses but for proper assessment a examination and psychological assessment by a psychiatrist will be very helpful i hope this helps,['parenting' 'adolescence problems' 'all sides' 'parenting community'],1.0
can masturbating when i am 14 stun my growth of my penis expert info please <positive_smiley>,thank you for your question on ehealthforum com masturbation does not affect the growth masturbation at younger age in some individuals can lead to a feeling of guilt this feeling of guilt in some people can be a reason for dysfunctions involving erection and premature ejaculation thank you,['penis' 'penis growth' 'preteens'],1.0
my family doctor and i have concluded yesterday after various tests and trials of other things over the last 1 5 years that i have fibromyalgia the symptoms coincidentally or not started when menopause started for me i am 54 i have been on hrt for one year and it has relieved the hot flashes but not the bodymuscle pain and sleep problems since all otc nsaids and arthritis type creams do not help he prescribed voltaren gel and to continue with all of the alternative therapies i am trying yoga walking monthly visit to chiropractor acupuncture and massage and meditation he said to try the gel for 4 weeks and if that did not work for me he would prescribe nortriptyline for sleeppain do you agree with his assessmentplan he did not think diet had any impact do you agree i am trying to eat a more plant based diet any suggestions you have would be most welcome thank you,your doctor is doing the right thing nsaids trial is standard procedure with concomitant alternative therapies if not responding then addition of antidepressants like nortriptyline is standard choice and wise one do as directed by your doctor visit our fibromyalgia health center for further guidance i hope it helps stay in touch with your healthcare provider for further guidance as our answers are just for education and counselling purposes and can not be an alternative to actual visit to a doctor take care khan,['arthritis' 'menopause' 'yoga' 'diet' 'healthcare it' 'fibromyalgia'],1.0
my son is now nineteen months old and doesnt say any words at all he jabbers a lot but you can not understand any of it he seems very normal otherwise he plays and laughs and smiles i have read things about how autistic children do not hold eye contact he can and does we have a seven year old son as well and i do not remember it taking this long for him to talk should i be concerned that he may be autistic i am a nervous wreck over this,autism is a medical condition in which there are problems with communication and social interaction this is a rather serious condition to be diagnosed without a complex and complete examination the child might lack eye contact as you mentioned the babbling in these children might be accompanied with unusual gestures repeating othersâ words whereas the words are less frequently associated with appropriate gestures repetitive behaviour might be one of the symptoms that are most easy to recognize it might include compulsive behaviour ritualistic behaviour stereotypy or even self injury as for the slow improvement of the speech please consider that many children just need more time to talk and to be understood different conditions might be causing this situation sometimes the child might need help from a specialist for speech and language therapy whom you are advised to visit she might be able to detect if there are any physiological problems with the speech related organs the tongue the palate the throat or the child simply needs more time to develop the speech to exclude autism you might want to take your child to a neuropsychologist pediatrician until than please keep in mind that there are many children at the age of 19 months whose speech is not fluent enough to be understood clearly,"['symptoms' 'autism' 'autism symptoms of' 'pediatrician'
 'autistic children symptoms' 'autism symptoms children'
 'autism and language' 'autism communication' 'behaviour children'
 'behaviour problems' 'autism']",1.0
i have been taking methadose and oxycotin illeagely for over a year now i am now trying to quit the withdrawls are the worst thing i have ever experienced so i keep going back to get more i have no insurance and i dont have the money to go to the e r is there any way i can ease the pain so i can get my life back in order please help i dont know what to do,you are not alone you should consider expert help from medical professionals who specialize in drug treatment there are specialists who can counsel you during your detoxification from narcotics and provide medical assistance during this process also you can call a drug or alcohol helpline to identify treatment centers in your area treatment centers medically intake patients for as long as is necessary for you to understand the disease of drug addiction learn preventative measures to counter the disease and develop belief that there is life after methadone and oxycotin further you may need the support of your friends family and a 12 step support group to fully recover from your addiction simply to recover from addiction you need a willingness to change your life and the humility to start to take suggestions to save your life you can take action now,['addiction' 'recovery'],1.0
i have heard the controversy and i want an educated opinion on whether having a 300calorie a day diet with about 30 minutes of cardio a day would allow me to lose weight,hello the simple rule for weight loss is than you should burn more calories than you take depending upon which cardio exercise you are talking about if you calorie expenditure is more than 300calday you will lose weight most cardio exercises burn more than 300calday for example the step aerobics burn about 400 calories in 30 minutes regards this post is for the purpose of providing medical information and is not a substitute for a face to face consultation with a doctor this post is not intended to give or rule out a diagnosis create a doctor patient relationship or replace an existing one,['weight' 'loss' 'diet' 'eating disorders'],1.0
i was wondering if teens could go on atkins diet but i do not want to go on it for life if its not going to work at all is it for people extremely over weight or for people in their 100 is also thanks,semen analysis is not suitable to diagnose prostate ca azoospermia has to be established before declaring sterility this re testing is most likely a part of that very protocol to detect any viable number that could lead to impregnation though vasectomy is very safe method and only 1  failure rate is there retesting at three weeks is ideal to confirm azoospermia wishing you best of health thanks,"['atkins diet' 'diet' 'fitness' 'weight' 'diets' 'sex' 'diet  fitness'
 'activity fitness' 'atkins bread' 'atkins diets' 'atkins diet']",-1.0
how do i know if its my tjm  diagonosed with this since july 2014playing up or actual toothache i am taking naproxen for my tjm lying down is impossible to sleep codine is being taken for pain i am in agony cold compress helps hot food tingles but cold dosnt when im upright the pain is managable then i have spasms of excrutiating pain in the left side of face jaw ear eye which then settles down and goes how do i know if its toothache or my tjm i have appointments at dentist and docs but cant get in till early next week at the moment in the day the pain is a 2 on a scale of 1 5 with 5 being the worst pain imaginable when trying to sleep it is way of the scale for pain and i have to try to sleep sitting up,your concern is regarding the pain that you are having in the face jaw ear and eye without physical examination it is very difficult to confirm and it can be either tmj or toothache tmj pain disorders usually occur because of unbalanced activity spasm or overuse of the jaw muscles this causes inflammation of the jaw joint and hence severe pain which may radiate to the ears as well diagnosis is confirmed by x rays or ct of the joint you can apply warm compresses to the joint and take anti inflammatory pain killer drugs after consulting your doctor a physical therapist can also be approached as craniosacral therapy to relax the muscles and fascia of the jaw is very helpful in relieving the pain it is very difficult to precisely confirm a diagnosis without examination and investigations and the answer is based on the medical information provided for exact diagnosis you are requested to consult your doctor i sincerely hope that helps take care,['tmj'],1.0
i let my brother and his family live with me becaue i felt bad that he lost his house he has 2 kids 9 & 10 and 3 dogswhat am i thinking he told me he would pay a few of the lower bills in the house which equal up to 200 a month i am a single mom with 1 boy 9 and a 1 year old finances have been pretty tight so i can not allow someone to take advantage of me he started to make really good money which i was happy 4 him i told him he needed 2 help out a bit more so it could be a bit more equal but he got angry saying how he is ******* broke and he is not making any moneyi know he was making 1800 wk take home he promised 2 do things 2 help me around the house and never followed through with it ex his wife talked me into purchasing a pool which i could not afford but she said they would pay 2 level the ground he would do the electical and they already had the pump and filter 2 give me i thought it was a good deal for all 2 enjoy they r now leaving me with all 2 to do,thanks for using this forum its painful when your near ones take you for a ride but at times you are helpless time is a great healer ithink you should attend few sessions with the therapist and then reason out things logically you have your kids to take care off and the baaby needs you so stop thinking and get into action mode will help feel you better dont worry everything will be fine take care,"['afford' 'angry' 'angry kids' 'all kids' 'bad wife' 'all pump' 'bad kids'
 'bad 4 good' 'family relationships']",1.0
hello currently on a probiotic and looking into adding something for a dairy sensitivity is it possible to use one product,conditions that can present with recurrent episodic fever or elevated body temperature fatigue enlarged lymph nodes palpitations could be due to   autoimmune conditions endocrine disorders like hyperthyroidism infectious mononucleosis viral infections chronic granulomatous conditions like   tuberculosis sarcoidosis brucellosis etc and many others hence it is more likely that your symptoms could be due to chronic medical conditions which can be determined only after proper physical examination evaluation of your medical history and and a few diagnostic tests please consult a doctor specialist in internal medicine who can give you proper opinion,['vitamins'],-1.0
i just got 2 piercings done like 5 days ago my cartilage and in between the cartilage and lobe piercings i have i am experiencing some swelling in the back of my ear where the back piece is i clean it 3 times a day but it all of a sudden started hurting at the moment it is kinda throbbing where the piercing is it is a little warm and when i touch it it hurts it makes me wanna take out my piercing,it is very common for all men and women to experience small aches and pains due to muscoloskeletal issues or tissue wear and tear the analysis of your history and symptoms do not indicate that you have serious neurological issues like als this is true since all the tests including the mri have been found to be normal the other possibilities would be that you have a low threshold to pain or they could be due to psychological issues conditions like fibromyalgia or chronic pain syndromes might also be a possibility it would be recommended that you consult a rheumatologist and a psychiatrist who can help with proper diagnosis and also proper counseling and behavior management to help you manage and live with the pain i hope this helps,['body modification'],-1.0
hello my 7 week old baby always brings up milk after every feed its not straight away but as soon as i lay her on her back even if i have held her up for over an hour its almost a clear colour and she doesnt vomit she kind of just pushes it out it doesnt seem to bother her when it happens what causes this and when will it stop could it be related to something i am eating many thanks nat,according to your babyâs symptoms regurgitation not vomiting of milk after feeding she might be experiencing an esophageal disorder i will not speculate anything without further diagnostic examinations you should bring her to her pediatrician immediately,"['pediatrician' 'symptoms' 'vomiting' 'babies vomiting' 'babies newborn'
 'baby vomiting' 'back straight' 'babies eating' 'baby newborn'
 'babies milk' 'newborn babies']",1.0
hi i am a 32 year old female my question relates to exercise intolerance i am very unfit and am wanting to get fit for the first time in my life but whenever i start even an easy exercise program i get really wiped out i usually feel okay after my workout barely a plausible term session but feel extremely fatigued the next day which interrupts my program this can be very irregular tho sometimes i can do quite a bit and feel fine the next day i had bulimia starting at age 17 for 10 years and am wondering if this is still the effects on my body i have no other side effects from the bulimia apart from that i have suffered chronic fatigue syndrome but these symptoms disappear if i do not exercise i have had my heart and lungs checked out blood tests etc all come back fine can someone please please shed some light as to why i get so exhausted following even a small amount of exercise it doesnt seem to matter be it cardio or weights thankyou very much,i see your 18 mo old cries prior to a bowl movement and seems fine afterwards a most common cause for this behavior is âstool holding â this usually occurs in older children during toilet training but i have seen it in children as young as yours if you or anyone has started toilet training i might advise you to stop the exact cause of this stool is not completely understood but it surely is associated with toilet training if your child does not perceive any pressure to be toilet trained either from you or any other caretaker and the behavior does not resolve itself with a laxative diet she should be evaluated by her pediatrician ljgmd,"['eating disorders' 'arthritis' 'exercise' 'fitness' 'cardio health'
 'heart health' 'chronic fatigue syndrome']",-1.0
hello i am newly mom and breastffeding my baby from last three months i have noticed lump in my left breast recently i am worried about the breast cancer please advise me and would want to know if it is related breast cancer,if you are breastfeeding your baby the breast lump that you describe could suggest possibility of presence of cyst infected lobule breast abscess galactocele fibroadenoma lipomas fibrocystic disease mastitis etc most breast lumps that develop during pregnancy and lactation are benign but occasionally women do develop breast cancer any lump that develops should be taken seriously whether the woman is pregnant or not the exact cause can only be made out after careful examination and further evaluation visit your doctorgynecologist at the earliest for thorough examination and further evaluation to look for the underlying cause mammogram or ultrasound scan and tumor marker tests done will help to rule outpredict chances of cancer you can try with warm compresses use of heating pad gentle massage etc to alleviate the pain nurse your baby frequently and vary the positions to allow for pressure on different ducts to help with complete emptying of the ducts make sure your bra is giving you good support take care,"['breast' 'lump' 'breast cancer' 'breast lump' 'ultrasound' 'pregnancy'
 'lactation' 'alleviate' 'pregnant' 'infected' 'breastfeeding and nursing']",1.0
i have had acid burning stomach pain for the past ten years i had a magic eye back then and revealed nothing apart from inflammation been on many types of medication but dosent work everything i eat feels uncomfortable and i get a pain down my left arm it woories me and i cant live with this any more im 35 years old please can you help,most gi illnesses do not cause pain in one is arm and so i would suggest that your doctors make sure that this pain you are experiencing is not related to any potential heart disease beyond this suggestion there are many potential causes of upper abdominal pain including acid reflux which almost always improves on acid reducting medications helicobacter pylroi infection which requires both acid reducing medications and antibiotics bile alkaline reflux gastritis which does not respond to acid reducing medications hiatal hernias gallstones biliary dyskinesia abnormal function of the galbladder and bile duct sphincter muscle chronic pancreatitis kidney stones and irritable bowel syndrome among others since i am not involved in your care i am afraid that i really cannot speculate as to what precisely is causing your symptoms i hope that you can find a good gastroenterologist who can try and help to sort things out for you sincerely robert a wascher md facs www doctorwascher com author a cancer prevention guide for the human race 2010,"['stomach cancer' 'stomach' 'cancer' 'stomach pain' 'medication'
 'left arm' 'acid' 'arm' 'back inflammation' 'pain medication'
 'stomach cancer']",1.0
my spn is 4 years old due to go to full time school reception in january 2012 his teacher along with a senco teacher said to me that they feel that he may have autism the reason they gave were he does not always look at them when they are talking to him he may do group work for 10 minutes then he is not interested and gets distracted by things around him and he cannot ride a bike firstly i have not taught him to ride a bike so hence why he cannot and he has not taught himself they say he can read knows colours shapes alphabet numbers all the names of the children in his class if they put something up they think he cannot read he can he does not hold his pen properly he can hold conversations with children and adults i potty trained him in a month aug 2010 he asked for things says please and thank you gives me direct eye contact when i talk to him or anyone family based only when he is excited he flaps his hands at 4 i think he is on point for his age what do u think,you seem concerned by the possibility of autism in your 4 year old son autism includes a broad spectrum of symptoms therefore a single brief evaluation cannot predict a child is true abilities ideally a team of different specialists will evaluate the child they might evaluatecommunication language motor skills speech success at school thinking abilities because there is no biological test for autism the diagnosis will often be based on very specific criteria from a book called the diagnostic and statistical manual iv autism can be associated with other disorders that affect the brain such asfragile x syndrome mental retardation tuberous sclerosis you must consult an appropriate medical facility where autism kids are evaluated and treated as the same is not possible online hope this helps take care note this answer is not intended as and does not substitute for medical advice   the information presented is for patient education only please see your personal physician for further evaluation of your individual case,"['autism' 'alphabet' 'autism children' 'adults autism' 'autism adults'
 'all children' 'autism talk' 'autism work' 'autism and' 'age group'
 'autism']",1.0
i need help i drink every night and think that it has something to do with my personal life and the way i deal with things i used to love my job and the banter now they are making me feel down and worthless my husband has been doing this for a while now and i really need some help to stop other people making me feel so useless and worthless,it is difficult to analyse your situation without a physical examination and a psychiatric complete history you might definitely benefit by consulting a psychiatrist who can help you properly in dealing with your problems and prescribe you medications if needed,['depression' 'addiction' 'recovery'],1.0
i am very concerned about my girlfriend is weight she is 21 years old 55 and 249lbs she has gained almost 60lbs in the last two years i also know for a fact that she was less than 140lbs when she was sixteen and this gaining seems to be way out of control i am very worried because she seems so tired she is out of shape avoid stairs   if we have to use the stairs she is always out of breath as i write i am very worried but i do not know what to do or how this weight will affect her i have never been overweight myself but always heard about how difficult and harmful it is given her recent weight gain what is the risk factors for her if she goes to her doctor will the doctor mention her weight because most 21 year old girls would not get out of breath by just walking some stairs right,it is difficult to interpret the possible cause of the lesion detected in the mri without more medical history as well and complete mri visualization possible causes that can present as lumps around the clavicle include   enlarged lymph nodes with or without abscess formation tumors like osteochondroma or it could also be a bony lump caused by a healing fracture of the clavicle it would be best if you can consult the doctors treating you who can go through the mri and advice you accordingly i hope this helps,['weight' 'loss' 'affect' 'tired' 'weight loss'],-1.0
how can i control the lipomo i have many nos oflipomo in my body pls advse,hello and welcome to ehealth forum what you describe as âmultiple lipomoâ is probably âlipomasâ the exact cause of lipomas is not known lipomas tend to run in families as hereditary familial lipomatosis so genetic factors play a role in some cases sometimes lipomas occur after an injury but it cannot be said for sure whether they are caused by the trauma or whether they were accidently detected after injury coming back to your question it is difficult to say how to control it as the cause is not known since you have many of them there is a chance that it runs in your family this is a benign tumor not cancerous and hence generally left as it is hope this helps take care,"['alternative' 'trauma' 'tumor' 'benign tumor' 'what is a benign tumor'
 'alternative to' 'back care' 'alternative medicine']",1.0
10 days ago i had my bile ducts replaced with my small intestine and removal of my gall bladder i am so depressed reading all these etters has this surgery ever been successful i feel this surgery was a bad idea and my quality of my life is over please give me some hope,your concern is probably regarding the surgery for chronic pancreatitis i e whipple is procedure there is acceptable alteration of lifestyle after the whipple operation most patients are able to go back to their normal functional levels many studies show that there is no statistical difference looking at physical abilities psychological issues social issues functional capabilities and disabilities when comparing whipple with the other surgeries like laparoscopic gall bladder removal some of the long term consequences of the whipple operation include the following 1 mal absorption the pancreas produces enzymes required for digestion of food in some patients removal of part of the pancreas during the whipple operation can lead to a diminished production of these enzymes patients complain of bulky diarrhea type of stool that is very oily long term treatment with oral pancreatic enzyme supplementation usually provides relief from this problem 2 alteration in diet after the whipple operation it is generally recommended that the patients ingest smaller meals and snack between meals to allow better absorption of the food and to minimize symptoms of feeling of being bloated or getting too full 3 loss of weight it is common for patients to lose up to 5 to 10 of their body weight compared to their weight prior to their illness the weight loss usually stabilizes very rapidly and most patients after a small amount of initial weight loss are able to maintain their weight and do well hope this helps take care note this post is not to emphasise final diagnosis as the same cannot be made online and is aimed just to provide medical information and no treatment suggested above be taken without face to face consultation with health care professional,"['bladder' 'small intestine' 'health care' 'intestine' 'surgery'
 'gall bladder surgery' 'intestine disorders' 'bile duct disorders']",1.0
hello i am 22 and i have a back pain when sitting localized in the middle part of my back especially under left blade and sometimes between both blades like the muscles was tense all the time the pain is harder when i drive car   searing strong pain including large part of my back the pain appeared about 4 years ago and firsty it was gentle so i thought i can eliminate it with exercises i sit at a computer about 8 hours a day but i do breaks to exercise and move but when i do not do any break for some hours after standing up and twisting my spine left and right my spine joints shoot the pain becomes stronger while i do a deep breath the neurosurgeon with very good opinions told that my spine is ok and my back are straight so there is no need to do mri he addressed me to the physiotherapist at the beginning the physiotherapist suspected the ankylosing spondylitis but after next visits he rather ruled this out the massages and exercises did not help even worse <negative_smiley>,i believe with normal conservative measures not helping there is no harm in taking an mri however posture rehab is mandatory and long rides are not wise i would suggest to have a complete neurological correlation to rule out any nerve compression and see how it goes i hope it helps stay in touch with your healthcare provider for further guidance as our answers are just for education and counselling purposes and cannot be an alternative to actual visit to a doctor take care khan,['exercise' 'back pain'],1.0
hi i work full time in a high pressure environment and right now my body and mind are giving me signs indicating that i need a break in my work i have several procedures to follow which are constantly being updated i am having a hard time keeping up as my time is charged to clients i fill in timesheets and i am constantly under pressure to have a minimum of non billable time which is exhausting moreover i have to deal with short deadlines often several simultaneously this is made even heavier by the fact that the instructions i get are not always clear and the people i work for do not seem to grasp the concept of help me help you all this leaves me mentally exhausted today as i am demotivated tired have difficulty concentrating and am feeling like my life is pointless i know i only need a 2 week or so break to recharge my batteries but i do not have any vacations left and cannot afford a leave without pay i am afraid seeing a doctor would only get me a prescription for antidepressants and should i get a prescription for time off i would not want words like burn out or depression on it any advice what is a girl gotta do to get well needed rest without jeopardizing her job or reputation when she does not even appear sick on the outside,it is more likely that she could be having a infectious or inflammatory disorder affecting the central nervous system brain and spinal cord resulting in neuropathy like symptoms it would be best that she consult with a neurologist who can examine her and provide a proper opinion about further management,['depression' 'depression'],-1.0
why do i feel so down when someone makes fun of my dyslexia,the description provided indicates that you might be having a mood disorder bipolar disorder but additional history and a face to face discussion is needed to know the exact problem for a proper diagnosis and treatment you might benefit by consulting a psychiatrist who can take a complete history and then decide on the treatment measures,['dyslexia'],-1.0
following my discution with afriend who is doctor out of california he told me i may suffer from b12 deficiency latley my hmos doctor send ne to b12 test that seems fine200 my friend strongly sugested that i try to get the mm test wich may be the only test that relevant for b12 deficiency does someone knows if the hmos are covering this test ingeneral thanks yarden,it is difficult to analyse your situation without a physical examination and a psychiatric complete history you might definitely benefit by consulting a psychiatrist who can help you properly in dealing with your problems and prescribe you medications if needed,"['b12 deficiency' 'atkins diet' 'afriend' 'anemia' 'urine' 'diet' 'acid'
 'atkins diet information' 'b12 deficiency vitamin'
 'anemia b12 deficiency' 'atkins diet']",-1.0
to whom it may concern my son is 3 months old and he is on breastfeeding in his blood analysis which was done in 30 january 2017 number of neutrophils was 0 7nl after that we repeated blood test on 7 march 2017 and number of neutrophils was 1 27nl because of that result we did test again in 14 march 2017 and number was 0 9<negative_smiley>nl no other symptoms are revealed however according to pediatrician we did following tests iga igm igg hiv b12 and copper in blood currently we have only hiv result and it is negative please tell me is it possible in infants to have low number of neutrophils without any obvious reason and can it increase without any additional treatment and in what period of time thank you in advance,weight loss with pancreas history is significant and needs correlation before talking about what to eat and how to eat i suggest you get assessed for any pancreatic mass or malignancy if you are jaundiced or feel itchy in skin etc it would be the time to get assessed for this pancreas evaluation from baselines to ca 19 9 assessment now eating needs frequent meals and a nutritionist consult to give you a complete dietary plan take care,['blood disorders'],-1.0
abortion benefits,if you are breastfeeding your baby the breast lump that you describe could suggest possibility of presence of cyst infected lobule breast abscess galactocele fibroadenoma lipomas fibrocystic disease mastitis etc most breast lumps that develop during pregnancy and lactation are benign but occasionally women do develop breast cancer any lump that develops should be taken seriously whether the woman is pregnant or not the exact cause can only be made out after careful examination and further evaluation visit your doctorgynecologist at the earliest for thorough examination and further evaluation to look for the underlying cause mammogram or ultrasound scan and tumor marker tests done will help to rule outpredict chances of cancer you can try with warm compresses use of heating pad gentle massage etc to alleviate the pain nurse your baby frequently and vary the positions to allow for pressure on different ducts to help with complete emptying of the ducts make sure your bra is giving you good support take care,"['abortion debate' 'pregnancy' 'abortion pregnancy' 'benefits of'
 'abortion debate']",-1.0
i was wondering whether it is safe to try my partners breast milk whilst i am on medication i am on an antidepressant for anxiety and a muscle relaxant to help with my disability otherwise i am a healthy 22 year old the medication i am on is citalopram and baclofen i also take lansoprazole for reflux,breast milk has no side effects and does not interfere with any medicines which you are taking it is only when a female is lactating and taking any medicines the medicines are secreted in breast milk it is very difficult to precisely confirm a diagnosis without examination and investigations and the answer is based on the medical information provided for exact diagnosis you are requested to consult your doctor i sincerely hope that helps take care,"['antidepressant' 'medication' 'baclofen' 'anxiety' 'breast' 'muscle'
 'antidepressant citalopram' 'anxiety disability' 'anxiety medication'
 'anxiety help' 'mens chat']",1.0
